	gene	locus_tag	product	protein_id	EC_number
2592	NA	SMc02355	Putative isochorismatase family protein	CAC47161.1	NA
2593	NA	SMc02356	Putative branched chain amino acid binding 	CAC47162.1	NA
2594	NA	SMc02357	Putative high-affinity branched-chain amino acid 	CAC47163.1	NA
2595	NA	SMc02358	Putative high-affinity branched-chain amino acid 	CAC47164.1	NA
2596	NA	SMc02359	Putative high-affinity branched-chain amino acid 	CAC47165.1	NA
2597	NA	SMc02360	Putative branched chain amino acid transport 	CAC47166.1	NA
2598	NA	SMc02412	Conserved hypothetical protein	CAC47167.1	NA
2599	NA	SMc02413	Class-III pyridoxal-phosphate-dependent 	CAC47168.1	NA
2600	NA	SMc02414	Putative hydrolase	CAC47169.1	NA
2601	NA	SMc02415	Putative allantoin ABC transporter, periplasmic 	CAC47170.1	NA
2602	NA	SMc02416	Hydrolase	CAC47171.1	NA
2603	NA	SMc02417	Putative allantoin and other purine derivative 	CAC47172.1	NA
2604	NA	SMc02418	Putative allantoin and other purine derivative 	CAC47173.1	NA
2605	NA	SMc02419	Putative allantoin and other purine derivative 	CAC47174.1	NA
2606	NA	SMc02420	Cytosine deaminase and related metal-dependent 	CAC47175.1	NA
2607	NA	SMc02421	Hydrolase	CAC47176.1	NA
2608	NA	SMc02423	Putative allantoin and other purine derivative 	CAC47177.1	NA
2609	NA	SMc02424	Putative allantoin and other purine derivative 	CAC47178.1	NA
2610	NA	SMc02425	Transcription regulator GntR family	CAC47179.1	NA
2611	NA	SMc02426	Conserved hypothetical protein	CAC47180.1	NA
2612	hyuE	SMc02427	Putative hydantoin racemase	CAC47181.1	5.1.99.-
2613	NA	SMc02428	Putative oxidoreductase	CAC47182.1	NA
2614	NA	SMc04422	Transcription regulator LysR family	CAC47183.2	NA
2615	TRm17	SMc02430	Putative transposase for ISRm17 protein	CAC47184.1	NA
2616	rRNA-16S	SMc02675	ribosomal RNA-16S	CAC47185.1	NA
2617	NA	SMc02432	Hypothetical transmembrane protein	CAC47186.1	NA
2618	clpB	SMc02433	Probable ATP-dependent protease (heat shock 	CAC47187.1	NA
2619	NA	SMc02434	Hypothetical protein	CAC47188.2	NA
2620	hemK1	SMc02435	Putative methyltransferase	CAC47189.1	2.1.1.-
2621	prfA	SMc02436	Probable peptide chain release factor 1 (RF-1) 	CAC47190.1	NA
2622	ptsP	SMc02437	Probable phosphoenolpyruvate phosphotransferase 	CAC47191.1	2.7.3.9
2623	lysC	SMc02438	Probable aspartokinase	CAC47192.1	2.7.2.4
2624	NA	SMc02439	Conserved hypothetical protein	CAC47193.1	NA
2625	ubiG	SMc02440	Putative 3-demethylubiquinone-9 	CAC47194.1	2.1.1.64
2626	NA	SMc02441	Conserved hypothetical protein	CAC47195.1	NA
2627	NA	SMc02442	Putative hydrolase	CAC47196.1	NA
2628	grxC	SMc02443	Probable glutaredoxin 3 protein	CAC47197.1	NA
2629	NA	SMc02444	Putative competence protein F	CAC47198.1	NA
2630	NA	SMc02445	Conserved hypothetical protein	CAC47199.1	NA
2631	NA	SMc02446	Putative pilus assembly protein	CAC47200.1	NA
2632	NA	SMc04612	Conserved hypothetical transmembrane protein	CAC47201.1	NA
2633	mutT	SMc02448	Putative mutator protein 	CAC47202.1	3.6.1.-
2634	NA	SMc02449	Putative acetyltransferase	CAC47203.1	NA
2635	argJ	SMc02450	Probable Arginine biosynthesis bifunctional 	CAC47204.2	unknown EC_number
2636	NA	SMc02451	Conserved hypothetical protein, contains a 	CAC47205.1	5.2.1.8
2637	secA	SMc04458	Probable preprotein translocase SecA subunit	CAC47206.1	NA
2638	NA	SMc00744	Probable export protein	CAC47207.1	NA
2639	NA	SMc00743	Probable polysaccharide biosynthesis related 	CAC47208.1	NA
2640	NA	SMc00742	Conserved hypothetical protein	CAC47209.1	NA
2641	acsA3	SMc00741	Probable acetyl-CoA synthetase	CAC47210.1	6.2.1.1
2642	NA	SMc00740	Conserved hypothetical protein	CAC47211.1	NA
2643	tRNA-LEU_CAA	SMc00759	Conserved hypothetical protein	CAC47212.1	NA
2644	NA	SMc00738	Hypothetical transmembrane protein	CAC47213.1	NA
2645	NA	SMc00737	Conserved hypothetical protein	CAC47214.1	NA
2646	NA	SMc00736	Putative DNA-3-methyladenine glycosidase II	CAC47215.1	3.2.2.21
2647	NA	SMc00735	Probable glutamyl-tRNA synthetase	CAC47216.1	6.1.1.17
2648	NA	SMc00734	Probable transporter	CAC47217.1	NA
2649	NA	SMc00733	Probable short chain dehydrogenase	CAC47218.1	1.1.1.105
2650	NA	SMc00732	Conserved hypothetical transmembrane protein	CAC47219.1	NA
2651	NA	SMc00731	Conserved hypothetical protein, partial homology 	CAC47220.1	NA
2652	NA	SMc00730	Hypothetical transmembrane protein	CAC47221.1	NA
2653	etfB1	SMc00729	Putative electron transfer flavoprotein 	CAC47222.1	NA
2654	etfA1	SMc00728	Putative electron transfer flavoprotein 	CAC47223.1	NA
2655	hbdA	SMc00727	Probable 3-hydroxybutyryl-CoA dehydrogenase	CAC47224.1	1.1.1.157
2656	tlpA	SMc00726	Putative thiol:disulfide interchange 	CAC47225.1	NA
2657	argH1	SMc04639	Probable argininosuccinate lyase asal protein	CAC47226.1	4.3.2.1
2658	NA	SMc00724	Hypothetical/unknown protein	CAC47227.1	NA
2659	lysA	SMc00723	Probable diaminopimelate DAP decarboxylase	CAC47228.1	4.1.1.20
2660	NA	SMc01402	Hypothetical transmembrane protein	CAC47229.1	NA
2661	TRm22	SMc00721	Putative transposase	CAC47230.1	NA
2662	NA	SMc00720	Putative 2-component receiver domain protein	CAC47231.1	NA
2663	hpt	SMc00719	Probable hypoxanthine phosphoribosyltransferase	CAC47232.2	2.4.2.8
2664	NA	SMc00718	Hypothetical transmembrane protein	CAC47233.1	NA
2665	ftsE	SMc00717	Probable cell division ATP-binding protein	CAC47234.2	NA
2666	ftsX	SMc00716	Cell division protein	CAC47235.1	NA
2667	NA	SMc00715	Hypothetical transmembrane protein	CAC47236.1	NA
2668	NA	SMc00714	Putative 1-acyl-SN-glycerol-3-phosphate 	CAC47237.1	2.3.1.51
2669	chaC	SMc00713	Putative cation transport protein	CAC47238.1	NA
2670	NA	SMc00712	Conserved hypothetical transmembrane protein	CAC47239.1	NA
2671	tyrC	SMc00711	Putative cyclohexadienyl dehydrogenase and ADH 	CAC47240.1	unknown EC_number
2672	hisC1	SMc00710	Putative histidinol-phosphate aminotransferase	CAC47241.1	2.6.1.9
2673	NA	SMc00709	Conserved hypothetical protein	CAC47242.1	NA
2674	gloB	SMc00708	Putative hydroxyacylglutathione hydrolase 	CAC47243.1	3.1.2.6
2675	NA	SMc00707	Conserved hypothetical protein	CAC47244.1	NA
2676	NA	SMc00706	Hypothetical transmembrane protein	CAC47245.1	NA
2677	NA	SMc00705	Conserved hypothetical signal peptide protein	CAC47246.1	NA
2678	rpmB	SMc00704	Probable 50S ribosomal protein L28	CAC47247.1	NA
2679	NA	SMc00703	Hypothetical transmembrane protein	CAC47248.1	NA
2680	NA	SMc04590	Hypothetical signal peptide protein	CAC47249.1	NA
2681	cobT	SMc00701	Probable Aerobic cobaltochelatase CobT subunit	CAC47250.1	6.6.1.2
2682	NA	SMc00700	Probable Aerobic cobaltochelatase CobS subunit	CAC47251.1	6.6.1.2
2683	NA	SMc00699	Hypothetical protein	CAC47252.1	NA
2684	NA	SMc04591	Transcription regulator, BolA/YrbA family	CAC47253.1	NA
2685	NA	SMc00697	Hypothetical transmembrane protein	CAC47254.1	NA
2686	aroB	SMc00696	Putative 3-dehydroquinate synthase transmembrane 	CAC47255.1	4.2.3.4
2687	aroK	SMc00695	Putative shikimate kinase I	CAC47256.1	2.7.1.71
2688	NA	SMc00694	Conserved hypothetical protein	CAC47257.1	NA
2689	NA	SMc00693	Conserved hypothetical protein	CAC47258.1	NA
2690	NA	SMc00692	Hypothetical signal peptide protein	CAC47259.1	NA
2691	xerD	SMc00691	Probable integrase/recombinase DNA recombination 	CAC47260.1	NA
2692	accA	SMc00690	Probable acetyl-coenzyme A carboxylase carboxyl 	CAC47261.1	6.4.1.2
2693	NA	SMc00689	Hypothetical protein signal peptide	CAC47262.1	NA
2694	NA	SMc00688	Conserved hypothetical protein	CAC47263.1	NA
2695	NA	SMc00687	Hypothetical protein	CAC47264.1	NA
2696	NA	SMc00686	Hypothetical protein	CAC47265.1	NA
2697	NA	SMc00684	Conserved hypothetical protein	CAC47266.1	NA
2698	NA	SMc00683	Putative penicillin-binding protein	CAC47268.1	NA
2699	hipO1	SMc00682	Putative hippurate hydrolase	CAC47269.1	3.5.1.32
2700	lrp1	SMc00681	Probable leucine-responsive regulatory protein	CAC47270.1	NA
2701	NA	SMc00680	NADP-dependent alcohol dehydrogenase	CAC47271.1	1.1.1.2
2702	NA	SMc04641	Transcription regulator AraC family	CAC47272.1	NA
2703	NA	SMc00678	Transcription regulator AsnC family	CAC47273.2	NA
2704	NA	SMc00677	Putative aminotransferase	CAC47274.1	2.6.1.-
2705	NA	SMc00676	Putative amino acid-binding periplasmic signal 	CAC47275.1	NA
2706	NA	SMc00675	Aminotransferase, class III	CAC47276.1	2.6.1.-
2707	hutC	SMc00674	Putative histidine utilization repressor 	CAC47277.1	NA
2708	NA	SMc00673	Hydrolase	CAC47278.1	3.-.-.-
2709	hutX	SMc00672	Histidine ABC transporter, periplasmic 	CAC47279.1	NA
2710	hutW	SMc00671	Histidine ABC transporter, permease	CAC47280.1	NA
2711	hutV	SMc00670	Histidine ABC transporter, ATP-binding protein	CAC47281.1	NA
2712	hutH2	SMc00669	Histidine ammonia-lyase	CAC47282.1	4.3.1.3
2713	NA	SMc00668	Hypothetical transmembrane protein	CAC47283.1	NA
2714	NA	SMc00667	Conserved hypothetical protein	CAC47284.1	NA
2715	NA	SMc00666	Hypothetical transmembrane protein	CAC47285.1	NA
2716	NA	SMc00665	Hypothetical/unknown protein	CAC47286.1	NA
2717	NA	SMc00664	Hypothetical signal peptide protein	CAC47287.1	NA
2718	NA	SMc00663	Hypothetical protein	CAC47288.1	NA
2719	NA	SMc00662	Hypothetical protein	CAC47289.1	NA
2720	NA	SMc04637	Hypothetical/unknown protein	CAC47290.1	NA
2721	tRNA-MET_CAT	SMc00758	Hypothetical signal peptide protein	CAC47291.1	NA
2722	trmU	SMc00659	Putative tRNA 	CAC47292.1	2.1.1.61
2723	NA	SMc00658	Transcription regulator LuxR family	CAC47293.1	NA
2724	NA	SMc00657	Conserved hypothetical protein	CAC47294.1	NA
2725	NA	SMc00656	Conserved hypothetical protein	CAC47295.1	NA
2726	NA	SMc00655	Hypothetical protein	CAC47296.1	NA
2727	ctrA	SMc00654	Cell cycle transcriptional regulator CtrA, 	CAC47297.1	NA
2728	NA	SMc00653	Putative 2-component receiver domain protein	CAC47298.1	NA
2729	chpT	SMc00652	ChpT histidine phosphotransferase	CAC47299.1	NA
2730	NA	SMc00651	Hypothetical protein	CAC47300.1	NA
2731	NA	SMc00650	Hypothetical transmembrane protein	CAC47301.1	NA
2732	NA	SMc00649	tRNA/rRNA methyltransferase	CAC47302.1	2.1.1.-
2733	NA	SMc00648	Conserved hypothetical transmembrane protein	CAC47303.2	NA
2734	rluD	SMc00647	Putative ribosomal large subunit pseudouridine 	CAC47304.1	4.2.1.70
2735	rpoH1	SMc04636	RNA polymerase sigma factor (Sigma-32)	CAC47305.1	NA
2736	NA	SMc00644	Hypothetical protein	CAC47306.1	NA
2737	purA	SMc00643	Probable adenylosuccinate synthetase 	CAC47307.1	6.3.4.4
2738	NA	SMc00642	Hypothetical transmembrane protein	CAC47308.1	NA
2739	serA	SMc00641	Putative D-3-phosphoglycerate dehydrogenase	CAC47309.1	1.1.1.95
2740	serC	SMc00640	Putative phosphoserine aminotransferase	CAC47310.1	2.6.1.52
2741	NA	SMc00639	Putative heat resistant agglutinin 1 signal 	CAC47311.1	NA
2742	NA	SMc00638	Putative heat resistant agglutinin 1 protein	CAC47312.2	NA
2743	glmM	SMc00637	Phosphoglucosamine mutase	CAC47313.1	5.4.2.10
2744	ftsH	SMc04459	Probable metalloprotease transmembrane protein	CAC47314.1	3.4.24.-
2745	NA	SMc02940	Hypothetical protein	CAC47315.1	NA
2746	NA	SMc02941	Hypothetical transmembrane protein	CAC47316.1	NA
2747	pal	SMc02942	Peptidoglycan-associated lipoprotein	CAC47317.1	NA
2748	tolB	SMc04461	Probable TolB protein precursor	CAC47318.1	NA
2749	tolA	SMc03956	Hypothetical signal peptide protein	CAC47319.1	NA
2750	tolR	SMc03957	Putative transport transmembrane protein	CAC47320.1	NA
2751	tolQ	SMc03958	Putative transport transmembrane protein	CAC47321.1	NA
2752	NA	SMc03959	Probable ATP-dependent DNA ligase	CAC47322.1	6.5.1.1
2753	NA	SMc03960	Conserved hypothetical protein	CAC47323.1	NA
2754	sqdB	SMc03961	UDP-sulfoquinovose synthase	CAC47324.1	3.13.1.1
2755	sqdD	SMc04081	glycosyltransferase	CAC47325.1	2.4.1.186
2756	sqdC	SMc03963	Epimerase	CAC47326.1	5.1.3.2
2757	NA	SMc03964	Hypothetical transmembrane protein	CAC47327.1	NA
2758	ruvB	SMc03965	Probable holliday junction DNA helicase	CAC47328.1	NA
2759	ruvA	SMc03966	Probable holliday junction DNA helicase	CAC47329.1	NA
2760	ruvC	SMc03967	Probable holliday junction 	CAC47330.1	3.1.22.4
2761	NA	SMc03968	Oxidoreductase	CAC47331.1	1.-.-.-
2762	NA	SMc03969	Conserved hypothetical protein	CAC47332.1	NA
2763	NA	SMc03970	Hypothetical protein	CAC47333.1	NA
2764	mexF2	SMc03971	Probable multidrug-efflux system transmembrane 	CAC47334.1	NA
2765	mexE2	SMc03972	Putative multidrug efflux system transmembrane 	CAC47335.1	NA
2766	NA	SMc03973	Conserved hypothetical protein	CAC47336.1	NA
2767	NA	SMc03974	Conserved hypothetical protein	CAC47337.1	NA
2768	NA	SMc05023	Transcription regulator LysR family	CAC47338.1	NA
2769	NA	SMc03976	Hypothetical protein	CAC47339.1	NA
2770	NA	SMc03977	Hypothetical protein	CAC47340.1	NA
2771	tkt2	SMc03978	Probable transketolase	CAC47341.1	2.2.1.1
2772	gap	SMc03979	Probable glyceraldehyde 3-phosphate 	CAC47342.1	1.2.1.12
2773	NA	SMc03980	Conserved hypothetical protein	CAC47343.1	NA
2774	pgk	SMc04080	Probable phosphoglycerate kinase	CAC47344.1	2.7.2.3
2775	TRm5	SMc04493	Transposase for insertion sequence element 	CAC47345.1	NA
2776	fbaB	SMc03983	Probable fructose-bisphosphate aldolase class I	CAC47346.1	4.1.2.13
2777	NA	SMc03984	Conserved hypothetical protein	CAC47347.1	NA
2778	cyaF2	SMc03985	Probable adenylate/guanylate cyclase	CAC47348.1	4.6.1.1
2779	NA	SMc03986	Hypothetical transmembrane protein	CAC47349.1	NA
2780	NA	SMc03987	MFS-type transporter	CAC47350.1	NA
2781	NA	SMc03988	Hypothetical protein	CAC47351.1	NA
2782	NA	SMc03989	Conserved hypothetical protein	CAC47352.1	NA
2783	rpmE	SMc03990	Probable 50S ribosomal protein L31	CAC47353.1	NA
2784	NA	SMc03991	Probable ABC transporter ATP-binding 	CAC47354.1	NA
2785	NA	SMc03992	Hypothetical protein signal peptide	CAC47355.1	NA
2786	NA	SMc03993	Hypothetical transmembrane protein	CAC47356.1	NA
2787	suhB	SMc03994	Putative inositol monophosphatase	CAC47357.1	3.1.3.25
2788	NA	SMc03995	Hypothetical protein	CAC47358.1	NA
2789	thiE2	SMc03996	Probable thiamine-phosphate pyrophosphorylase	CAC47359.1	2.5.1.3
2790	NA	SMc03997	Hypothetical transmembrane protein	CAC47360.1	NA
2791	NA	SMc03998	Hypothetical transcription regulator protein	CAC47361.1	NA
2792	NA	SMc03999	Hypothetical protein	CAC47362.1	NA
2793	NA	SMc04000	Hypothetical protein	CAC47363.1	NA
2794	purE	SMc04001	Probable phosphoribosylaminoimidazole 	CAC47364.1	4.1.1.21
2795	purK	SMc04002	Probable phosphoribosylaminoimidazole 	CAC47365.1	4.1.1.21
2796	rpmJ	SMc04003	Probable 50S ribosomal protein L36	CAC47366.1	NA
2797	NA	SMc04004	Hypothetical signal peptide protein	CAC47367.1	NA
2798	pykA	SMc04005	Probable pyruvate kinase II	CAC47368.1	2.7.1.40
2799	NA	SMc04006	Hypothetical transmembrane protein	CAC47369.1	NA
2800	NA	SMc04007	Conserved hypothetical protein	CAC47370.1	NA
2801	NA	SMc04008	Conserved hypothetical protein	CAC47371.1	NA
2802	NA	SMc04009	Conserved hypothetical protein	CAC47372.1	NA
2803	NA	SMc04010	Hypothetical protein	CAC47373.1	NA
2804	tacA	SMc04011	Putative sigma-54-dependent transcription 	CAC47374.1	NA
2805	pepF	SMc04012	Putative oligoendopeptidase F	CAC47375.1	3.4.24.-
2806	pabB	SMc04013	Putative para-aminobenzoate synthase component 	CAC47376.1	unknown EC_number
2807	NA	SMc04014	Hypothetical protein	CAC47377.2	NA
2808	NA	SMc04015	Diguanylate cyclase	CAC47378.1	NA
2809	hss	SMc04016	Probable homospermidine synthase	CAC47379.1	2.5.1.44
2810	omp10	SMc04017	Probable outer membrane lipoprotein	CAC47380.1	NA
2811	NA	SMc04018	Probable 5'-nucleotidase precursor (signal 	CAC47381.1	3.1.3.5
2812	hemH	SMc04019	Probable ferrochelatase	CAC47382.2	4.99.1.1
2813	NA	SMc04020	Hypothetical transmembrane protein	CAC47383.1	NA
2814	NA	SMc04021	Hypothetical transmembrane protein	CAC47384.1	NA
2815	NA	SMc04022	Conserved hypothetical protein	CAC47385.1	NA
2816	exoN2	SMc04023	Probable UTP--glucose-1-phosphate 	CAC47386.1	2.7.7.9
2817	NA	SMc04024	Membrane-bound lytic murein transglycosylase 	CAC47387.1	3.2.1.-
2818	NA	SMc04025	Hypothetical transmembrane protein	CAC47388.1	NA
2819	gltD	SMc04026	Probable glutamate synthase small chain	CAC47389.2	1.4.1.13
2820	gltB	SMc04028	Probable glutamate synthase NADPH large chain	CAC47390.1	1.4.1.13
2821	NA	SMc04029	Putative low specificity L-threonine aldolase	CAC47391.1	4.1.2.5
2822	NA	SMc04030	Hypothetical transmembrane protein	CAC47392.1	NA
2823	pip2	SMc04031	Putative proline iminopeptidase	CAC47393.1	3.4.11.5
2824	NA	SMc04032	Transcription regulator LuxR family	CAC47394.1	NA
2825	pip3	SMc04033	Putative proline iminopeptidase	CAC47395.1	3.4.11.5
2826	NA	SMc04034	Putative amino acid or peptide ABC transporter, 	CAC47396.1	NA
2827	NA	SMc04035	Putative amino acid or peptide ABC transporter, 	CAC47397.1	NA
2828	NA	SMc04036	Putative amino acid or peptide ABC transporter, 	CAC47398.1	NA
2829	NA	SMc04423	Putative amino acid or peptide ABC transporter, 	CAC47399.1	NA
2830	TRm17N	SMc04038	Putative partial transposase for ISRm17 protein	CAC47400.1	NA
2831	TRm17C	SMc04039	Putative partial transposase for ISRm17 protein	CAC47401.1	NA
2832	ibpA	SMc04040	Probable heat shock protein	CAC47402.1	NA
2833	pldB	SMc04041	Probable lysophospholipase L2 protein	CAC47403.1	3.1.1.5
2834	NA	SMc05024	Inositol-1-monophosphatase family protein	CAC47404.1	3.1.3.25
2835	NA	SMc04043	Conserved hypothetical protein	CAC47405.1	NA
2836	tRNA-VAL_GAC	SMc04060	Single domain response regulator	CAC47406.1	NA
2837	ilvD2	SMc04615	Probable dihydroxy-acid dehydratase	CAC47407.1	4.2.1.9
2838	NA	SMc04873	Conserved hypothetical protein	CAC47408.1	NA
2839	azu2	SMc04047	Probable pseudoazurin (blue copper protein)	CAC47409.1	NA
2840	NA	SMc04048	Putative cytochrome C	CAC47410.1	NA
2841	NA	SMc04049	Putative sulfite oxidase	CAC47411.1	1.8.3.1
2842	NA	SMc04050	Hypothetical transmembrane protein	CAC47412.1	NA
2843	rpoE4	SMc04051	Putative RNA polymerase sigma-E factor 	CAC47413.1	NA
2844	NA	SMc04052	Transcription regulator MarR family	CAC47414.1	NA
2845	NA	SMc04053	Hypothetical protein	CAC47415.1	NA
2846	NA	SMc04054	Conserved hypothetical protein	CAC47416.1	NA
2847	NA	SMc04055	Transcription regulator LysR family	CAC47417.1	NA
2848	NA	SMc04056	Putative oxidoreductase	CAC47418.1	NA
2849	NA	SMc04057	Conserved hypothetical protein	CAC47419.1	NA
2850	NA	SMc04058	Conserved hypothetical protein	CAC47420.1	NA
2851	NA	SMc04059	Hypothetical protein	CAC47421.1	NA
2852	glgP	SMc04460	Probable glycogen phosphorylase	CAC47422.1	2.4.1.1
2853	glgB1	SMc03922	Probable 1,4-alpha-glucan branching enzyme 	CAC47423.1	2.4.1.18
2854	glgC	SMc03923	Probable glucose-1-phosphate adenylyltransferase 	CAC47424.1	2.7.7.27
2855	glgA1	SMc03924	Probable glycogen synthase (starch [bacterial 	CAC47425.1	2.4.1.21
2856	pgm	SMc03925	Probable phosphoglucomutase (glucose 	CAC47426.1	5.4.2.2
2857	glgX1	SMc03926	Probable glycogen debranching enzyme	CAC47427.1	3.2.1.-
2858	nodN2	SMc03927	Putative nodulation protein	CAC47428.1	NA
2859	NA	SMc03928	Conserved hypothetical protein	CAC47429.1	NA
2860	NA	SMc03929	Putative zinc-type alcohol dehydrogenase 	CAC47430.1	1.1.1.-
2861	soxG2	SMc03930	Putative sarcosine oxidase gamma subunit	CAC47431.1	1.5.3.1
2862	soxA2	SMc03931	Putative sarcosine oxidase alpha subunit 	CAC47432.1	1.5.3.1
2863	soxD2	SMc03932	Putative sarcosine oxidase delta subunit	CAC47433.1	1.5.3.1
2864	soxB2	SMc03933	Putative sarcosine oxidase subunit B	CAC47434.1	1.5.3.1
2865	rpsU2	SMc03934	Probable 30S ribosomal protein	CAC47435.1	NA
2866	NA	SMc04649	Hypothetical protein	CAC47436.1	NA
2867	NA	SMc03936	Conserved hypothetical signal peptide protein	CAC47437.1	NA
2868	cyaG1	SMc03937	Putative adenylate/guanylate cyclase	CAC47438.1	4.6.1.1
2869	pntB	SMc03938	Probable NAD(P) transhydrogenase subunit beta 	CAC47439.1	1.6.1.1
2870	pntAb	SMc03939	Probable NAD(P) transhydrogenase subunit alpha 	CAC47440.1	1.6.1.2
2871	pntAa	SMc03950	NAD(P) transhydrogenase subunit alpha part 1	CAC47441.1	1.6.1.2
2872	NA	SMc03941	Conserved hypothetical transmembrane protein	CAC47442.1	NA
2873	NA	SMc03942	Diguanylate cyclase/phosphodiesterase	CAC47443.1	NA
2874	NA	SMc03943	Conserved hypothetical protein	CAC47444.1	NA
2875	NA	SMc04462	Putative 2-hydroxyacid dehydrogenase	CAC47445.2	NA
2876	pckR	SMc02975	Putative phosphoenolpyruvate carboxykinase 	CAC47446.1	NA
2877	NA	SMc02976	Transcription regulator MarR family	CAC47447.1	NA
2878	NA	SMc02977	Conserved hypothetical protein	CAC47448.1	3.5.2.10
2879	NA	SMc02978	Conserved hypothetical protein	CAC47449.1	NA
2880	NA	SMc02979	Hypothetical protein	CAC47450.1	NA
2881	NA	SMc02980	Hypothetical protein	CAC47451.1	NA
2882	NA	SMc02981	Putative amino acid efflux transmembrane 	CAC47452.1	NA
2883	NA	SMc02982	Acetyltransferase family protein	CAC47453.1	2.3.1.-
2884	NA	SMc02983	Putative ornithine, DAP, or arginine 	CAC47454.1	4.1.1.-
2885	NA	SMc02984	Putative transcription regulator	CAC47455.1	NA
2886	NA	SMc02985	Conserved hypothetical protein	CAC47456.1	NA
2887	NA	SMc02986	Hypothetical transmembrane protein	CAC47457.1	NA
2888	NA	SMc02987	Conserved hypothetical protein	CAC47458.1	NA
2889	NA	SMc02988	Conserved hypothetical protein	CAC47459.1	NA
2890	NA	SMc02989	Conserved hypothetical transmembrane protein	CAC47460.1	NA
2891	NA	SMc03151	Conserved hypothetical protein	CAC47461.1	NA
2892	NA	SMc03152	Hypothetical transmembrane protein	CAC47462.1	NA
2893	eda2	SMc03153	Probable KHG/KDPG aldolase (includes: 	CAC47463.1	unknown EC_number
2894	NA	SMc03154	Conserved hypothetical protein	CAC47464.1	NA
2895	NA	SMc03155	Hypothetical protein	CAC47465.1	NA
2896	NA	SMc03156	Conserved hypothetical protein	CAC47466.1	NA
2897	metQ	SMc03157	Probable D-methionine-binding lipoprotein MetQ	CAC47467.1	NA
2898	metI	SMc03158	Probable D-methionine transport system permease 	CAC47468.1	NA
2899	metN	SMc03159	Methionine import ATP-binding protein MetN	CAC47469.1	3.6.3.-
2900	NA	SMc03160	Probable beta-glucosidase	CAC47470.1	3.2.1.21
2901	NA	SMc03161	Oxidoreductase	CAC47471.1	1.1.1.-
2902	NA	SMc03162	Hypothetical transmembrane protein	CAC47472.1	NA
2903	xylA	SMc03163	Probable xylose isomerase	CAC47473.1	5.3.1.5
2904	xylB	SMc03164	Putative xylulose kinase	CAC47474.1	2.7.1.17
2905	NA	SMc03165	Transcription regulator LacI family	CAC47475.1	NA
2906	NA	SMc03166	Conserved hypothetical transmembrane protein	CAC47476.1	NA
2907	NA	SMc03167	MFS-type transport protein	CAC47477.1	NA
2908	NA	SMc03168	Multidrug resistance efflux system	CAC47478.1	NA
2909	NA	SMc03169	Transcription regulator TetR family	CAC47479.1	NA
2910	NA	SMc03170	Transcription regulator AraC family	CAC47480.1	NA
2911	NA	SMc03171	Hypothetical transmembrane protein	CAC47481.1	NA
2912	gltX	SMc03172	Glutamyl-tRNA synthetase	CAC47482.1	6.1.1.17
2913	lysS	SMc03173	Lysyl-tRNA synthetase	CAC47483.1	6.1.1.6
2914	NA	SMc03174	Hypothetical unknown transmembrane protein	CAC47484.1	NA
2915	NA	SMc03175	Inosine-uridine preferring nucleoside hydrolase 	CAC47485.1	3.2.2.-
2916	NA	SMc03176	Hypothetical protein	CAC47486.1	NA
2917	NA	SMc03177	Putative DNA ligase	CAC47487.1	6.5.1.1
2918	NA	SMc03178	Diguanylate cyclase/phosphodiesterase	CAC47488.1	NA
2919	phaA1	SMc03179	PH adaptation potassium efflux system 	CAC47489.1	NA
2920	phaC1	SMc03180	PH adaptation potassium efflux system C 	CAC47490.1	NA
2921	phaD1	SMc03181	PH adaptation potassium efflux system D 	CAC47491.1	NA
2922	phaE1	SMc03182	PH adaptation potassium efflux system E 	CAC47492.1	NA
2923	phaF1	SMc03183	PH adaptation potassium efflux system F 	CAC47493.1	NA
2924	phaG1	SMc03184	PH adaptation potassium efflux system G 	CAC47494.1	NA
2925	NA	SMc03185	Putative NADPH dehydrogenase quinone reductase 	CAC47495.1	1.6.5.2
2926	NA	SMc03186	Transcription regulator LysR family	CAC47496.1	NA
2927	cobM	SMc03187	Probable precorrin-4 C11-methyltransferase	CAC47497.1	2.1.1.133
2928	cobL	SMc03188	Probable precorrin-6Y C5,15-methyltransferase 	CAC47498.1	2.1.1.132
2929	cobK	SMc03189	Probable precorrin-6X reductase	CAC47499.1	1.3.1.54
2930	cobJ	SMc03190	Probable precorrin-3B C17-methyltransferase	CAC47500.1	2.1.1.131
2931	cobI	SMc03191	Probable precorrin-2 C20-methyltransferase	CAC47501.1	2.1.1.130
2932	cobH	SMc03192	Probable precorrin-8X methylmutase	CAC47502.1	5.4.1.2
2933	cobG	SMc03193	Probable Precorrin-3B synthase	CAC47503.1	1.14.13.83
2934	cobF	SMc03194	Probable Precorrin-6A synthase [deacetylating]	CAC47504.1	2.1.1.152
2935	ung	SMc03195	Probable uracil-DNA glycosylase	CAC47505.1	3.2.2.-
2936	modA	SMc03196	Putative molybdate-binding periplasmic ABC 	CAC47506.1	NA
2937	modB	SMc03197	Putative molybdenum transport system permease 	CAC47507.1	NA
2938	modC	SMc03198	Putative molybdenum transport ATP-binding ABC 	CAC47508.1	3.6.3.29
2939	NA	SMc03199	Putative molybdenum transport associated 	CAC47509.1	NA
2940	NA	SMc03200	Amino acid deaminase	CAC47510.1	NA
